#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
2.748700899999999820e+03	1.003240899999999991e+00	-1.762457200000000154e-02	9.198328799999999639e-01	-1.088142500000000013e-01	1.106864999999999988e+00	7.596647600000000500e-02
2.902348300000000108e+03	1.001447900000000057e+00	-1.923155299999999845e-02	9.127045200000000191e-01	-1.166040899999999936e-01	1.114673100000000083e+00	8.280449900000000363e-02
3.064584299999999985e+03	9.997111800000000326e-01	-2.003864099999999940e-02	9.055296200000000351e-01	-1.253977400000000075e-01	1.122360500000000094e+00	8.902509799999999696e-02
3.235889099999999871e+03	9.980323300000000231e-01	-2.108127300000000107e-02	8.981091199999999830e-01	-1.332377399999999934e-01	1.129703200000000018e+00	9.639435500000000101e-02
3.416769400000000132e+03	9.965168800000000493e-01	-2.140200399999999878e-02	8.907025800000000215e-01	-1.418140999999999985e-01	1.138245799999999974e+00	1.031245300000000059e-01
3.607760699999999815e+03	9.946860699999999778e-01	-2.235145200000000082e-02	8.829639400000000027e-01	-1.508527199999999957e-01	1.147942199999999913e+00	1.107874300000000062e-01
3.809427999999999884e+03	9.931119699999999550e-01	-2.294074600000000144e-02	8.758806000000000092e-01	-1.598091700000000004e-01	1.157775699999999963e+00	1.191830200000000006e-01
4.022368100000000140e+03	9.919042999999999610e-01	-2.380502799999999891e-02	8.682320900000000119e-01	-1.690372199999999880e-01	1.167302599999999968e+00	1.278871799999999892e-01
4.247211199999999735e+03	9.905448599999999715e-01	-2.393889700000000065e-02	8.605257600000000284e-01	-1.783094400000000135e-01	1.176722700000000010e+00	1.350894099999999931e-01
4.484622699999999895e+03	9.895753099999999858e-01	-2.429329100000000158e-02	8.538330499999999823e-01	-1.863315100000000057e-01	1.186982399999999993e+00	1.422395800000000043e-01
4.735305000000000291e+03	9.881645900000000093e-01	-2.463064300000000068e-02	8.477027900000000393e-01	-1.938908799999999877e-01	1.196175200000000105e+00	1.508351199999999892e-01
5.000000000000000000e+03	9.869265699999999475e-01	-2.490462699999999863e-02	8.409709300000000054e-01	-2.025602599999999920e-01	1.206068499999999988e+00	1.596828700000000045e-01
