#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
3.673768099999999777e+02	1.001980599999999999e+00	7.532272399999999715e-03	9.899980800000000025e-01	2.708330199999999747e-04	1.014118999999999993e+00	1.479545099999999939e-02
3.879125099999999975e+02	1.001736299999999913e+00	7.504902899999999800e-03	9.903106200000000303e-01	2.422258199999999956e-04	1.013516700000000048e+00	1.470806099999999970e-02
4.095961199999999849e+02	1.001270199999999999e+00	7.528567299999999567e-03	9.902220099999999858e-01	3.393097599999999854e-04	1.012687099999999951e+00	1.471653199999999918e-02
4.324918000000000120e+02	1.000236200000000020e+00	8.698215800000000733e-03	9.892821699999999607e-01	3.747546600000000025e-04	1.011402600000000040e+00	1.722969099999999837e-02
4.566673099999999863e+02	1.000265500000000030e+00	8.776552899999999838e-03	9.893586500000000061e-01	5.822969999999999579e-04	1.011058800000000035e+00	1.729995999999999964e-02
4.821941899999999919e+02	1.001696399999999931e+00	1.053426699999999994e-02	9.895945800000000014e-01	2.755007500000000026e-03	1.014008199999999915e+00	1.846718799999999897e-02
5.091479699999999866e+02	1.001306299999999982e+00	1.057770700000000043e-02	9.900081299999999862e-01	2.529661900000000196e-03	1.012778299999999909e+00	1.889474400000000151e-02
5.376084299999999985e+02	1.000934100000000049e+00	1.119649399999999954e-02	9.897175299999999565e-01	2.542882099999999816e-03	1.012281999999999904e+00	2.029736799999999966e-02
5.676597699999999804e+02	1.002233399999999941e+00	1.144348799999999992e-02	9.906795999999999935e-01	3.668584600000000112e-03	1.014204600000000012e+00	1.926560500000000162e-02
5.993909200000000510e+02	1.001855099999999998e+00	1.167838199999999931e-02	9.907053500000000401e-01	3.725694600000000085e-03	1.013385299999999933e+00	1.982180799999999979e-02
6.328957900000000336e+02	1.001809900000000031e+00	1.242058600000000082e-02	9.905018300000000275e-01	3.826867900000000162e-03	1.013377299999999925e+00	2.109913299999999908e-02
6.682735300000000507e+02	1.001892699999999969e+00	1.317967599999999954e-02	9.903923100000000534e-01	4.091703200000000422e-03	1.013665199999999933e+00	2.260570500000000024e-02
7.056288100000000441e+02	1.002171799999999946e+00	1.398839999999999979e-02	9.904581000000000079e-01	4.371439599999999738e-03	1.014379900000000001e+00	2.387985299999999950e-02
7.450721899999999778e+02	1.002520000000000078e+00	1.473226099999999997e-02	9.903533399999999709e-01	4.551914899999999660e-03	1.015245299999999906e+00	2.519824600000000053e-02
7.867203799999999774e+02	1.002889600000000048e+00	1.539222699999999965e-02	9.902526400000000173e-01	4.741350400000000215e-03	1.016039300000000090e+00	2.640775299999999909e-02
8.306966200000000526e+02	1.003260700000000005e+00	1.606868100000000132e-02	9.900699899999999554e-01	4.768350699999999998e-03	1.017191200000000073e+00	2.767411900000000050e-02
8.771310700000000224e+02	1.003680600000000034e+00	1.668527100000000152e-02	9.898008700000000548e-01	4.635692200000000353e-03	1.018290499999999987e+00	2.899427300000000096e-02
9.261611100000000079e+02	1.004092500000000054e+00	1.733102200000000148e-02	9.894852299999999934e-01	4.435392100000000275e-03	1.019261299999999926e+00	3.027791100000000110e-02
9.779318399999999656e+02	1.004371399999999914e+00	1.810289899999999869e-02	9.890900500000000539e-01	4.062923100000000003e-03	1.020302599999999948e+00	3.196769900000000220e-02
1.032596500000000106e+03	1.004717400000000094e+00	1.879346499999999878e-02	9.885065200000000551e-01	3.617966199999999872e-03	1.021585600000000094e+00	3.371735599999999694e-02
1.090316700000000083e+03	1.005293200000000109e+00	1.955771900000000119e-02	9.879796100000000081e-01	3.235670400000000089e-03	1.023056699999999930e+00	3.544539699999999655e-02
1.151263500000000022e+03	1.005733800000000011e+00	2.034999399999999972e-02	9.874190600000000151e-01	2.794057899999999837e-03	1.024220099999999967e+00	3.739617600000000319e-02
1.215616999999999962e+03	1.006333399999999934e+00	2.113047700000000167e-02	9.866994300000000440e-01	2.264965900000000167e-03	1.026033399999999984e+00	3.943216299999999924e-02
